country_code,region,sub_region,country_name_cn
AU,Oceania,Australia and New Zealand,澳大利亚
SO,Africa,Eastern Africa,索马里
CY,Asia,Western Asia,賽普勒斯
IN,Asia,Southern Asia,印度
ZW,Africa,Eastern Africa,辛巴威
ZM,Africa,Eastern Africa,赞比亚
YE,Asia,Western Asia,也门
VN,Asia,South-Eastern Asia,越南
VE,Americas,South America,委內瑞拉
VA,Europe,Southern Europe,梵蒂冈
VU,Oceania,Melanesia,萬那杜
UZ,Asia,Central Asia,乌兹别克斯坦
UY,Americas,South America,乌拉圭
FM,Oceania,Micronesia,密克罗尼西亚联邦
MH,Oceania,Micronesia,馬紹爾群島
MP,Oceania,Micronesia,北马里亚纳群岛
VI,Americas,Caribbean,美屬維爾京群島
GU,Oceania,Micronesia,關島
AS,Oceania,Polynesia,美屬薩摩亞
PR,Americas,Caribbean,波多黎各
US,Americas,Northern America,美国
GS,Seven seas (open ocean),Seven seas (open ocean),南喬治亞島與南桑威奇群島
IO,Seven seas (open ocean),Seven seas (open ocean),英屬印度洋領地
SH,Africa,Western Africa,圣赫勒拿岛
PN,Oceania,Polynesia,皮特凯恩群岛
AI,Americas,Caribbean,安圭拉
FK,Americas,South America,福克兰群岛
KY,Americas,Caribbean,開曼群島
BM,Americas,Northern America,百慕大
VG,Americas,Caribbean,英屬維爾京群島
TC,Americas,Caribbean,特克斯和凯科斯群岛
MS,Americas,Caribbean,蒙塞拉特島
JE,Europe,Northern Europe,澤西島
GG,Europe,Northern Europe,根西岛
IM,Europe,Northern Europe,马恩岛
GB,Europe,Northern Europe,英国
AE,Asia,Western Asia,阿拉伯联合酋长国
UA,Europe,Eastern Europe,乌克兰
UG,Africa,Eastern Africa,乌干达
TM,Asia,Central Asia,土库曼斯坦
TR,Asia,Western Asia,土耳其
TN,Africa,Northern Africa,突尼西亞
TT,Americas,Caribbean,千里達及托巴哥
TO,Oceania,Polynesia,東加
TG,Africa,Western Africa,多哥
TL,Asia,South-Eastern Asia,东帝汶
TH,Asia,South-Eastern Asia,泰国
TZ,Africa,Eastern Africa,坦桑尼亚
TJ,Asia,Central Asia,塔吉克斯坦
TW,Asia,Eastern Asia,中華民國
SY,Asia,Western Asia,叙利亚
CH,Europe,Western Europe,瑞士
SE,Europe,Northern Europe,瑞典
SZ,Africa,Southern Africa,斯威士兰
SR,Americas,South America,蘇利南
SS,Africa,Eastern Africa,南苏丹
SD,Africa,Northern Africa,苏丹共和国
LK,Asia,Southern Asia,斯里蘭卡
ES,Europe,Southern Europe,西班牙
KR,Asia,Eastern Asia,大韩民国
ZA,Africa,Southern Africa,南非
SB,Oceania,Melanesia,索羅門群島
SK,Europe,Eastern Europe,斯洛伐克
SI,Europe,Southern Europe,斯洛文尼亚
SG,Asia,South-Eastern Asia,新加坡
SL,Africa,Western Africa,塞拉利昂
SC,Africa,Eastern Africa,塞舌尔
RS,Europe,Southern Europe,塞尔维亚
SN,Africa,Western Africa,塞内加尔
SA,Asia,Western Asia,沙特阿拉伯
ST,Africa,Middle Africa,圣多美和普林西比
SM,Europe,Southern Europe,圣马力诺
WS,Oceania,Polynesia,萨摩亚
VC,Americas,Caribbean,圣文森特和格林纳丁斯
LC,Americas,Caribbean,圣卢西亚
KN,Americas,Caribbean,聖克里斯多福與尼維斯
RW,Africa,Eastern Africa,卢旺达
RU,Europe,Eastern Europe,俄罗斯
RO,Europe,Eastern Europe,羅馬尼亞
QA,Asia,Western Asia,卡塔尔
PT,Europe,Southern Europe,葡萄牙
PL,Europe,Eastern Europe,波兰
PH,Asia,South-Eastern Asia,菲律宾
PE,Americas,South America,秘鲁
PY,Americas,South America,巴拉圭
PG,Oceania,Melanesia,巴布亚新几内亚
PA,Americas,Central America,巴拿马
PW,Oceania,Micronesia,帛琉
PK,Asia,Southern Asia,巴基斯坦
OM,Asia,Western Asia,阿曼
NO,Europe,Northern Europe,挪威
KP,Asia,Eastern Asia,朝鲜民主主义人民共和国
NG,Africa,Western Africa,奈及利亞
NE,Africa,Western Africa,尼日尔
NI,Americas,Central America,尼加拉瓜
NZ,Oceania,Australia and New Zealand,新西兰
NU,Oceania,Polynesia,紐埃
CK,Oceania,Polynesia,库克群岛
NL,Europe,Western Europe,荷蘭
AW,Americas,Caribbean,阿魯巴
CW,Americas,Caribbean,库拉索
NP,Asia,Southern Asia,尼泊尔
NR,Oceania,Micronesia,諾魯
NA,Africa,Southern Africa,纳米比亚
MZ,Africa,Eastern Africa,莫桑比克
MA,Africa,Northern Africa,摩洛哥
EH,Africa,Northern Africa,西撒哈拉
ME,Europe,Southern Europe,蒙特內哥羅
MN,Asia,Eastern Asia,蒙古国
MD,Europe,Eastern Europe,摩尔多瓦
MC,Europe,Western Europe,摩纳哥
MX,Americas,Central America,墨西哥
MU,Africa,Eastern Africa,毛里求斯
MR,Africa,Western Africa,毛里塔尼亚
MT,Europe,Southern Europe,马耳他
ML,Africa,Western Africa,马里共和国
MV,Asia,Southern Asia,马尔代夫
MY,Asia,South-Eastern Asia,马来西亚
MW,Africa,Eastern Africa,马拉维
MG,Africa,Eastern Africa,马达加斯加
MK,Europe,Southern Europe,馬其頓共和國
LU,Europe,Western Europe,卢森堡
LT,Europe,Northern Europe,立陶宛
LI,Europe,Western Europe,列支敦斯登
LY,Africa,Northern Africa,利比亚
LR,Africa,Western Africa,利比里亚
LS,Africa,Southern Africa,莱索托
LB,Asia,Western Asia,黎巴嫩
LV,Europe,Northern Europe,拉脫維亞
LA,Asia,South-Eastern Asia,老挝
KG,Asia,Central Asia,吉尔吉斯斯坦
KW,Asia,Western Asia,科威特
XK,Europe,Southern Europe,科索沃
KI,Oceania,Micronesia,吉里巴斯
KE,Africa,Eastern Africa,肯尼亚
KZ,Asia,Central Asia,哈萨克斯坦
JO,Asia,Western Asia,约旦
JP,Asia,Eastern Asia,日本
JM,Americas,Caribbean,牙买加
IT,Europe,Southern Europe,意大利
IL,Asia,Western Asia,以色列
PS,Asia,Western Asia,巴勒斯坦
IE,Europe,Northern Europe,爱尔兰共和国
IQ,Asia,Western Asia,伊拉克
IR,Asia,Southern Asia,伊朗
ID,Asia,South-Eastern Asia,印度尼西亚
IS,Europe,Northern Europe,冰岛
HU,Europe,Eastern Europe,匈牙利
HN,Americas,Central America,洪都拉斯
HT,Americas,Caribbean,海地
GY,Americas,South America,圭亚那
GW,Africa,Western Africa,幾內亞比索
GN,Africa,Western Africa,几内亚
GT,Americas,Central America,危地马拉
GD,Americas,Caribbean,格林纳达
GR,Europe,Southern Europe,希腊
GH,Africa,Western Africa,迦納
DE,Europe,Western Europe,德国
GE,Asia,Western Asia,格鲁吉亚
GM,Africa,Western Africa,冈比亚
GA,Africa,Middle Africa,加蓬
FR,Europe,Western Europe,法国
PM,Americas,Northern America,圣皮埃尔和密克隆群岛
WF,Oceania,Polynesia,瓦利斯和富圖納
MF,Americas,Caribbean,法屬聖馬丁
BL,Americas,Caribbean,聖巴泰勒米島
PF,Oceania,Polynesia,法屬玻里尼西亞
NC,Oceania,Melanesia,新喀里多尼亞
TF,Seven seas (open ocean),Seven seas (open ocean),法属南部领地
AX,Europe,Northern Europe,奥兰群岛
FI,Europe,Northern Europe,芬兰
FJ,Oceania,Melanesia,斐濟
ET,Africa,Eastern Africa,埃塞俄比亚
EE,Europe,Northern Europe,爱沙尼亚
ER,Africa,Eastern Africa,厄立特里亚
GQ,Africa,Middle Africa,赤道几内亚
SV,Americas,Central America,萨尔瓦多
EG,Africa,Northern Africa,埃及
EC,Americas,South America,厄瓜多尔
DO,Americas,Caribbean,多明尼加
DM,Americas,Caribbean,多米尼克
DJ,Africa,Eastern Africa,吉布提
GL,Americas,Northern America,格陵兰
FO,Europe,Northern Europe,法罗群岛
DK,Europe,Northern Europe,丹麦
CZ,Europe,Eastern Europe,捷克
CU,Americas,Caribbean,古巴
HR,Europe,Southern Europe,克罗地亚
CI,Africa,Western Africa,科特迪瓦
CR,Americas,Central America,哥斯达黎加
CD,Africa,Middle Africa,刚果民主共和国
CG,Africa,Middle Africa,刚果共和国
KM,Africa,Eastern Africa,葛摩
CO,Americas,South America,哥伦比亚
CN,Asia,Eastern Asia,中华人民共和国
MO,Asia,Eastern Asia,澳門
HK,Asia,Eastern Asia,香港
CL,Americas,South America,智利
TD,Africa,Middle Africa,乍得
CF,Africa,Middle Africa,中非共和國
CV,Africa,Western Africa,佛得角
CA,Americas,Northern America,加拿大
CM,Africa,Middle Africa,喀麦隆
KH,Asia,South-Eastern Asia,柬埔寨
MM,Asia,South-Eastern Asia,缅甸
BI,Africa,Eastern Africa,蒲隆地
BF,Africa,Western Africa,布吉納法索
BG,Europe,Eastern Europe,保加利亚
BN,Asia,South-Eastern Asia,文莱
BR,Americas,South America,巴西
BW,Africa,Southern Africa,波札那
BA,Europe,Southern Europe,波斯尼亚和黑塞哥维那
BO,Americas,South America,玻利維亞
BT,Asia,Southern Asia,不丹
BJ,Africa,Western Africa,贝宁
BZ,Americas,Central America,伯利兹
BE,Europe,Western Europe,比利时
BY,Europe,Eastern Europe,白罗斯
BB,Americas,Caribbean,巴巴多斯
BD,Asia,Southern Asia,孟加拉国
BH,Asia,Western Asia,巴林
BS,Americas,Caribbean,巴哈马
AZ,Asia,Western Asia,阿塞拜疆
AT,Europe,Western Europe,奥地利
HM,Seven seas (open ocean),Seven seas (open ocean),赫德島和麥克唐納群島
NF,Oceania,Australia and New Zealand,诺福克岛
AM,Asia,Western Asia,亞美尼亞
AR,Americas,South America,阿根廷
AG,Americas,Caribbean,安提瓜和巴布达
AO,Africa,Middle Africa,安哥拉
AD,Europe,Southern Europe,安道尔
DZ,Africa,Northern Africa,阿尔及利亚
AL,Europe,Southern Europe,阿尔巴尼亚
AF,Asia,Southern Asia,阿富汗
AQ,Antarctica,Antarctica,南极洲
SX,Americas,Caribbean,荷屬聖馬丁
